-50,730.3122,693.0736,657.668
-49,678.6575,644.5208,612.0399
-48,631.0184,599.71,569.8979
-47,587.056,558.3278,530.9523
-46,546.4618,520.089,494.9394
-45,508.9557,484.7341,461.619
-44,474.2825,452.0267,430.7722
-43,442.2097,421.7511,402.1989
-42,412.5251,393.7107,375.7168
-41,385.0355,367.7258,351.1592
-40,359.5644,343.6326,328.3739
-39,335.9504,321.2809,307.2213
-38,314.0464,300.5339,287.5741
-37,293.7175,281.266,269.3154
-36,274.8405,263.3624,252.3384
-35,257.3023,246.7177,236.5449
-34,240.9996,231.2355,221.8447
-33,225.8377,216.8273,208.1555
-32,211.7294,203.4118,195.4013
-31,198.5951,190.9144,183.5124
-30,186.3613,179.2666,172.4247
-29,174.9608,168.4053,162.0793
-28,164.3317,158.2726,152.4218
-27,154.417,148.8151,143.4022
-26,145.1643,139.9837,134.9746
-25,136.5254,131.7332,127.0964
-24,128.4558,124.0216,119.7285
-23,120.9146,116.8107,112.8348
-22,113.864,110.0648,106.3818
-21,107.2691,103.7512,100.3387
-20,101.0977,97.8396,94.6771
-19,95.3201,92.302,89.3705
-18,89.9088,87.1124,84.3946
-17,84.8385,82.2471,79.7268
-16,80.0856,77.6837,75.3463
-15,75.6284,73.4018,71.2336
-14,71.4468,69.3823,67.3708
-13,67.522,65.6077,63.7412
-12,63.837,62.0616,60.3295
-11,60.3755,58.7288,57.1212
-10,57.1228,55.5953,54.1032
-9,54.0651,52.648,51.2629
-8,51.1895,49.8747,48.5889
-7,48.4842,47.2643,46.0705
-6,45.9381,44.8062,43.6978
-5,43.5409,42.4906,41.4615
-4,41.2831,40.3086,39.3531
-3,39.1559,38.2516,37.3644
-2,37.1508,36.3117,35.488
-1,35.2603,34.4817,33.7169
0,33.4771,32.7547,32.0447
1,31.7945,31.1243,30.4652
2,30.2064,29.5847,28.9728
3,28.7068,28.1301,27.5623
4,27.2904,26.7556,26.2286
5,25.9521,25.4562,24.9672
6,24.6872,24.2274,23.7738
7,23.4912,23.065,22.6443
8,22.3599,21.965,21.575
9,21.2897,20.9239,20.5622
10,20.2768,19.938,19.6028
11,19.3178,19.0041,18.6937
12,18.4096,18.1193,17.8318
13,17.5493,17.2807,17.0146
14,16.734,16.4857,16.2394
15,15.9612,15.7317,15.504
16,15.2284,15.0164,14.8059
17,14.5333,14.3376,14.1432
18,13.8738,13.6933,13.5139
19,13.2479,13.0816,12.916
20,12.6537,12.5005,12.3479
21,12.0895,11.9485,11.808
22,11.5535,11.4239,11.2946
23,11.0442,10.9252,10.8064
24,10.5602,10.451,10.3419
25,10.1,10,9.9
26,9.6709,9.5709,9.471
27,9.2623,9.1626,9.063
28,8.8732,8.7738,8.6747
29,8.5025,8.4037,8.3052
30,8.1494,8.0512,7.9534
31,7.8128,7.7154,7.6184
